House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Hindergårdsgatan 23D",Rynningeåsen,Örebr,Lägenhet,Bostadsrätt,4,2,2,No,Yes,82.8,0,0,2011-present,4925.00,9823.00,2024-06-02,2.40,0.05,2.35
"Sadelgatan 9",TäbyPark,Täb,Lägenhet,Bostadsrätt,2,4,7,Yes,No,55,0,0,2011-present,3484.00,6700.00,2024-06-02,2.70,-0.07,2.76
"Sofielundsvägen 37",Blåsut,Stockholm,Lägenhet,Bostadsrätt,4,5,5,Yes,Yes,86,0,0,2011-present,6043.00,4500.00,2024-06-02,6.00,0.31,5.69
"Lundavägen 77",Rostorp,Malm,Lägenhet,Bostadsrätt,2,1,3,No,No,92.8,0,0,1900-1950,3914.00,6360.00,2024-06-02,2.20,-0.30,2.49
"Järnvägsgatan 11",Centrum,Ängelholm,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,83.5,0,0,1951-2000,4264.00,4680.00,2024-06-02,3.30,0.06,3.24
"Stora Kvarngatan 14A",Drottningtorget,Malm,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,74,0,0,"Before 1900s",4607.00,7760.00,2024-06-02,2.90,-0.10,2.99
"Hammarby allé 3B, vån 10 av 11",HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,3,10,11,Yes,Yes,87,0,0,2011-present,4936.00,9000.00,2024-06-02,7.00,0.51,6.49
"Sandhamnsgatan 1, 4 tr",Gärdet,Stockholm,Lägenhet,Bostadsrätt,1,4,7,Yes,Yes,36,0,0,2011-present,5000.00,6360.00,2024-06-02,3.35,0.00,3.35
"Radarvägen 16",Hägernäs,Täb,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,58,0,0,1951-2000,4482.00,11760.00,2024-06-02,2.30,-0.22,2.52
"Stegelbäcksgatan 4A",Grossgärdet,Norrtälj,Lägenhet,Bostadsrätt,2,3,3,No,No,45,0,0,1951-2000,2295.00,4800.00,2024-06-02,1.30,0.05,1.25
"Sundskajen 2B",Ön,Malm,Lägenhet,Bostadsrätt,2,2,5,Yes,Yes,68,0,0,2001-2010,5244.00,12123.00,2024-06-02,2.25,-0.06,2.31
"Koltrastvägen 2A",Näsbypark,Täb,Lägenhet,Bostadsrätt,4,3,4,Yes,Yes,135,0,0,2001-2010,6831.00,12000.00,2024-06-02,7.00,-0.30,7.29
"Munkgatan 3",Rådmansvången,Malm,Lägenhet,Bostadsrätt,1,1,6,Yes,No,35,0,0,1900-1950,3107.00,8880.00,2024-06-02,1.70,-0.15,1.84
"Sickla Allé 13",Sickla,Nack,Lägenhet,Bostadsrätt,1,4,13,Yes,Yes,38,0,0,1951-2000,2668.00,4500.00,2024-06-02,2.65,0.20,2.45
"Plantagegränd 7",Liljeholmen,Jönköping,Lägenhet,Bostadsrätt,3,3,4,Yes,No,65,0,0,1900-1950,4631.00,6360.00,2024-06-02,3.60,-0.05,3.65
"Götabergsgatan 16",Lorensberg,Göteborg,Lägenhet,Bostadsrätt,3,5,0,Yes,Yes,90,0,0,"Before 1900s",4694.00,8500.00,2024-06-02,8.38,0.00,8.38
"Langelandsgatan 41, 1 tr",Kista,Stockholm,Lägenhet,Bostadsrätt,3,1,4,Yes,Yes,81,0,0,1951-2000,6475.00,5400.00,2024-06-02,2.30,-0.08,2.38
"Esplanaden 4B",Grillby,Enköping,Lägenhet,Bostadsrätt,2,2,3,No,Yes,47.8,0,0,1951-2000,3252.00,10680.00,2024-06-02,0.70,0.06,0.64
"Optikvägen 13",Dalénum,Liding,Lägenhet,Bostadsrätt,4,4,6,Yes,Yes,96,0,0,2011-present,6405.00,10200.00,2024-06-02,7.95,0.10,7.85
"Bjäregatan 13",Eneborg,Helsingborg,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,65,0,0,2011-present,4800.00,6360.00,2024-06-02,0.90,-0.12,1.02
"Tre kronors väg 2",Kvarnholmen,Nack,Lägenhet,Bostadsrätt,3,0,7,Yes,Yes,85,0,0,2011-present,6684.00,6000.00,2024-06-02,6.00,-0.07,6.07
"Hantverkargatan 14B",Centralt,Gävl,Lägenhet,Bostadsrätt,2,3,3,No,Yes,57.5,0,0,1900-1950,3825.00,5472.00,2024-06-02,1.70,-0.02,1.71
"Berga Backe 8",Berga,Danderyd,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,66,0,0,1951-2000,4421.00,8292.00,2024-06-02,3.50,-0.35,3.84
"Slipvägen 2",Gåshaga,Liding,Lägenhet,Andelibostadsförening,5,2,5,Yes,Yes,131,0,0,2001-2010,7027.00,6360.00,2024-06-02,9.95,0.28,9.68
