0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Hårdvallsgatan 3B,1400000.0,Price per square meter:  25 926 kr/m²,Starting price: 1495000,Price trend:  -95 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 54,Balcony:  Nej,"Floor:  1 av 3, hiss finns ej",Year built: 1948,Fee:  3 442 kr/mån,Driftskostnad:  2 400 kr/år,Number of visits: 3364,,
Kostigen 17,1595000.0,Price per square meter:  23 806 kr/m²,Starting price: 1595000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3.5,Living area: 67,Balcony:  Nej,Uteplats:  Ja,Year built: 2022,Fee:  5 979 kr/mån,Driftskostnad:  6 403 kr/år,Number of visits: 1035,,
Bergslagsgatan 19F,2795000.0,Price per square meter:  26 746 kr/m²,Starting price: 2795000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 104.5,Balcony:  Nej,Year built: 1948,Fee:  6 575 kr/mån,Driftskostnad:  10 200 kr/år,Number of visits: 649,,,
Gubbkärrsvägen 19A,4050000.0,Price per square meter:  61 364 kr/m²,Starting price: 3800000,Price trend:  +250 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 66,Balcony:  Ja,"Floor:  1 av 6, hiss finns",Year built: 2016,Fee:  5 441 kr/mån,Driftskostnad:  9 000 kr/år,Number of visits: 472,,
Modistvägen 5B,2250000.0,Price per square meter:  33 582 kr/m²,Starting price: 2295000,Price trend:  -45 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 67,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 2011,Fee:  5 512 kr/mån,Driftskostnad:  6 612 kr/år,Number of visits: 1096,
Karlbergsvägen 71B 4 tr,11310000.0,Price per square meter:  106 698 kr/m²,Starting price: 8990000,Price trend:  +2 320 000 kr (+26 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 106,Balcony:  Nej,"Floor:  4 av 6, hiss finns",Year built: 1918,Fee:  6 546 kr/mån,Driftskostnad:  4 000 kr/år,Number of visits: 16486,,
"Kungsklippan 12, 3tr",6200000.0,Price per square meter:  87 324 kr/m²,Starting price: 6295000,Price trend:  -95 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 71,Balcony:  Ja,"Floor:  3, hiss finns",Year built: 1934,Fee:  8 657 kr/mån,Driftskostnad:  11 676 kr/år,Number of visits: 5755,,
Malmövägen 32,3300000.0,Price per square meter:  64 706 kr/m²,Starting price: 3195000,Price trend:  +105 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 51,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1947,Fee:  4 185 kr/mån,Number of visits: 5495,,,
Barken Beatrices Gata 4,4900000.0,Price per square meter:  47 115 kr/m²,Starting price: 5095000,Price trend:  -195 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 104,Balcony:  Ja,"Floor:  3 av 3, hiss finns",Year built: 2005,Fee:  7 408 kr/mån,Driftskostnad:  4 200 kr/år,Number of visits: 6176,,
Regementsgatan 33A,2195000.0,Price per square meter:  43 900 kr/m²,Starting price: 2195000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 50,Balcony:  Nej,"Floor:  1 av 6, hiss finns",Year built: 1938,Fee:  2 511 kr/mån,Driftskostnad:  8 160 kr/år,Number of visits: 2442,,
Drottninggatan 53B,1280000.0,Price per square meter:  42 667 kr/m²,Starting price: 1350000,Price trend:  -70 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 30,Balcony:  Nej,"Floor:  3 av 5, hiss finns",Year built: 1936,Fee:  2 154 kr/mån,Number of visits: 1114,,,
Storhöjdsgatan 6D,2395000.0,Price per square meter:  42 768 kr/m²,Starting price: 2395000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,Balcony:  Ja,"Floor:  3 av 4, hiss finns ej",Year built: 1944,Fee:  5 517 kr/mån,Driftskostnad:  8 079 kr/år,Number of visits: 3838,,
Ekehjelmstorget 4 / Swedenborgsgatan 17,10500000.0,Price per square meter:  109 375 kr/m²,Starting price: 9995000,Price trend:  +505 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 5,Living area: 96,Balcony:  Ja,"Floor:  2 av 6, hiss finns",Year built: 1984,Fee:  3 240 kr/mån,Driftskostnad:  17 688 kr/år,Number of visits: 10597,,
Plantagegatan 5,7425000.0,Price per square meter:  68 119 kr/m²,Starting price: 7250000,Price trend:  +175 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3.5,Living area: 109,Balcony:  Ja,"Floor:  6 av 6, hiss finns",Year built: 1907,Fee:  5 790 kr/mån,Number of visits: 6011,,,
Fadderortsgatan 2,995000.0,Price per square meter:  15 308 kr/m²,Starting price: 995000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 65,Balcony:  Ja,"Floor:  3 av 8, hiss finns",Year built: 1967,Fee:  4 165 kr/mån,Driftskostnad:  4 360 kr/år,Number of visits: 3360,,
Skolgatan 9,3900000.0,Price per square meter:  58 824 kr/m²,Starting price: 3850000,Price trend:  +50 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 66.3,Balcony:  Nej,Uteplats:  Ja,"Floor:  1, hiss finns",Year built: 1989,Fee:  3 532 kr/mån,Driftskostnad:  5 340 kr/år,Number of visits: 1726,
Forskarvägen 51,1800000.0,Price per square meter:  19 890 kr/m²,Starting price: 1595000,Price trend:  +205 000 kr (+13 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 90.5,Balcony:  Nej,Uteplats:  Ja,"Floor:  1, hiss finns ej",Year built: 1975,Fee:  6 084 kr/mån,Driftskostnad:  4 200 kr/år,Number of visits: 1394,
Gamla tyresövägen 368,2600000.0,Price per square meter:  52 000 kr/m²,Starting price: 2195000,Price trend:  +405 000 kr (+18 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 50,Balcony:  Nej,Uteplats:  Ja,Fee:  3 045 kr/mån,Driftskostnad:  4 200 kr/år,Number of visits: 1797,,,
"Trädgårdsvägen 11, 2 tr",1350000.0,Price per square meter:  19 853 kr/m²,Starting price: 1695000,Price trend:  -345 000 kr (-20 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 68,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1960,Fee:  5 420 kr/mån,Driftskostnad:  550 kr/år,Number of visits: 2014,,
Sjöåkravägen 42A,1115000.0,Price per square meter:  17 698 kr/m²,Starting price: 1195000,Price trend:  -80 000 kr (-7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 63,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1970,Fee:  3 217 kr/mån,Driftskostnad:  1 440 kr/år,Number of visits: 1923,,
Västra Gunnesgärde 37,1945000.0,Price per square meter:  28 188 kr/m²,Starting price: 1895000,Price trend:  +50 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 69,Balcony:  Ja,"Floor:  0,5 av 3, hiss finns ej",Year built: 1967,Fee:  4 551 kr/mån,Number of visits: 3251,,,
Sannagatan 52D,300000.0,Price per square meter:  4 545 kr/m²,Starting price: 325000,Price trend:  -25 000 kr (-8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 66,Floor:  2 av 3,Year built: 1943,Fee:  4 952 kr/mån,Number of visits: 2274,,,,
Seglaregatan 26,2700000.0,Price per square meter:  34 307 kr/m²,Starting price: 2695000,Price trend:  +5 000 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 78.7,Balcony:  Ja,"Floor:  1 av 4, hiss finns ej",Year built: 1973,Fee:  8 298 kr/mån,Driftskostnad:  6 468 kr/år,Number of visits: 2216,,
Kärnvedsgatan 61,3800000.0,Price per square meter:  46 626 kr/m²,Starting price: 3795000,Price trend:  +5 000 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 81.5,Balcony:  Ja,"Floor:  2 av 3, hiss finns",Fee:  6 266 kr/mån,Number of visits: 4555,,,,
Nordostpassagen 33,2570000.0,Price per square meter:  65 897 kr/m²,Starting price: 2490000,Price trend:  +80 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 39,Balcony:  Ja,"Floor:  3 av 7, hiss finns",Year built: 1967,Fee:  2 523 kr/mån,Driftskostnad:  3 540 kr/år,Number of visits: 2557,,
"Pipersgatan 16, 5 tr",2900000.0,Price per square meter:  105 455 kr/m²,Starting price: 2925000,Price trend:  -25 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 27.5,"Floor:  5 av 9, hiss finns",Year built: 1935,Fee:  3 451 kr/mån,Number of visits: 2276,,,,
Parmmätargatan 9A,5050000.0,Price per square meter:  117 442 kr/m²,Starting price: 4695000,Price trend:  +355 000 kr (+8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 43,Balcony:  Ja,"Floor:  1, hiss finns",Year built: 1930,Fee:  2 435 kr/mån,Driftskostnad:  6 480 kr/år,Number of visits: 4639,,
Klintbacken 54A,3050000.0,Price per square meter:  54 464 kr/m²,Starting price: 2795000,Price trend:  +255 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 2004,Fee:  5 380 kr/mån,Driftskostnad:  5 173 kr/år,Number of visits: 3354,
Mariagatan 13A,1725000.0,Price per square meter:  45 395 kr/m²,Starting price: 1725000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 38,Balcony:  Nej,"Floor:  1 av 2, hiss finns ej",Year built: 1943,Fee:  4 530 kr/mån,Driftskostnad:  5 832 kr/år,Number of visits: 1055,,
Jungfrudansen 13,1950000.0,Price per square meter:  54 167 kr/m²,Starting price: 1795000,Price trend:  +155 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 36,Balcony:  Nej,"Floor:  -1 av 4, hiss finns",Fee:  2 316 kr/mån,Number of visits: 441,,,,
Lövskogsgatan 2A,2625000.0,Price per square meter:  72 917 kr/m²,Starting price: 2350000,Price trend:  +275 000 kr (+12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 36,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1947,Fee:  2 581 kr/mån,Number of visits: 545,,,
