,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
0,Färsnagatan 5a,Färsna,Norrtälj,Lägenhet,Bostadsrätt,4,1,2,No,Yes,81.0,0.0,0.0,2011-present,5537.0,13750.0,2024-07-10,2.295,0.185,2.11
1,Åbjörnsgatan 38e,Gyllenfors,Gislaved,Lägenhet,Bostadsrätt,2,1,2,No,Yes,61.4,0.0,0.0,1951-2000,4970.0,13750.0,2024-07-10,0.295,-0.06,0.355
2,Ymergatan 15 E,Fålhagen,Uppsal,Lägenhet,Bostadsrätt,1,1,3,No,Yes,39.5,0.0,0.0,1900-1950,2571.0,4680.0,2024-07-10,1.995,-0.095,2.09
3,Kubikenborgsgatan 15 B,Kubikenborg,Sundsvall,Lägenhet,Bostadsrätt,1,0,3,No,Yes,38.5,0.0,0.0,1951-2000,2852.0,8568.0,2024-07-10,0.395,0.0,0.395
4,Neptungatan 4,ÖsterMälarstrand,Västerå,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,54.0,0.0,0.0,2011-present,3427.0,11256.0,2024-07-10,2.395,-0.145,2.54
7,Dansbanevägen 11 - Högst upp,Centralt,Österåker,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,61.0,0.0,0.0,2011-present,4226.0,13750.0,2024-07-10,2.495,0.0,2.495
8,Storgatan 43H,Davidshall,Malm,Lägenhet,Bostadsrätt,3,6,6,Yes,Yes,93.0,0.0,0.0,1900-1950,6613.0,7843.0,2024-07-10,6.495,0.03,6.465
9,Porlabacken 37,Hagsätra,Stockholm,Lägenhet,Bostadsrätt,3,2,3,No,Yes,70.0,0.0,0.0,1951-2000,5363.0,3000.0,2024-07-10,1.695,0.105,1.59
11,Fastlagsgatan 17,Kortedala,Göteborg,Lägenhet,Bostadsrätt,3,2,8,Yes,Yes,66.5,0.0,0.0,1951-2000,6212.0,13750.0,2024-07-10,1.695,-0.045,1.74
12,Norrbäcksgatan 17,Kroksbäck,Malm,Lägenhet,Bostadsrätt,3,8,8,Yes,Yes,87.5,0.0,0.0,1951-2000,6094.0,13750.0,2024-07-10,1.795,0.0,1.795
13,Gustav Garvares gata 3B,Haga,Ume,Lägenhet,Bostadsrätt,2,2,3,No,Yes,55.5,0.0,0.0,1900-1950,3654.0,13750.0,2024-07-10,1.995,0.0,1.995
14,Biblioteksgången 2,TäbyCentrum,Täb,Lägenhet,Bostadsrätt,1,7,8,Yes,Yes,48.0,0.0,0.0,1951-2000,3103.0,5000.0,2024-07-10,2.495,-0.045,2.54
15,Särstavägen 3B,Knivsta,Knivst,Lägenhet,Bostadsrätt,2,2,3,No,Yes,55.9,0.0,0.0,2011-present,4800.0,13750.0,2024-07-10,1.695,-0.13,1.825
16,Trädgårdsgärdet 182,Angered,Göteborg,Lägenhet,Bostadsrätt,4,4,4,Yes,Yes,113.0,0.0,0.0,1951-2000,7665.0,14700.0,2024-07-10,1.595,-0.025,1.62
17,Malgomajvägen 9,Årsta,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,57.0,0.0,0.0,1900-1950,3859.0,6800.0,2024-07-10,2.895,0.24,2.655
18,"Torsplan 10, vån 13",Vasastan/Hagastaden,Stockholm,Lägenhet,Bostadsrätt,3,0,0,Yes,Yes,92.0,0.0,0.0,2011-present,7720.0,13750.0,2024-07-10,12.0,0.8,11.2
19,Storgatan 111,Älvsbacka,Skellefte,Lägenhet,Bostadsrätt,2,1,5,Yes,Yes,48.0,0.0,0.0,2011-present,4400.0,1800.0,2024-07-10,1.55,0.0,1.55
20,Plantagegatan 3A,Linné,Göteborg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,61.0,0.0,0.0,1951-2000,3419.0,7560.0,2024-07-10,2.95,0.75,2.2
21,Västergatan 29A,Haga,Sundsvall,Lägenhet,Bostadsrätt,1,2,3,No,Yes,36.0,0.0,0.0,1951-2000,2299.0,2520.0,2024-07-10,0.795,-0.02,0.815
22,"Pingstvägen 44, 3 tr.",Midsommarkransen/Telefonplan,Stockholm,Lägenhet,Bostadsrätt,1,3,3,No,No,35.0,0.0,0.0,1900-1950,3206.0,5412.0,2024-07-10,2.595,0.0,2.595
23,Björcksgatan 30C,Kålltorp,Göteborg,Lägenhet,Bostadsrätt,4,0,0,No,No,112.0,0.0,0.0,2011-present,8300.0,13750.0,2024-07-10,4.495,0.005,4.49
24,Havstenavägen 13 C,Havstena,Skövd,Lägenhet,Bostadsrätt,3,2,3,No,Yes,77.5,0.0,0.0,1951-2000,4510.0,5500.0,2024-07-10,1.395,0.065,1.33
25,Slättängsgatan 27 A,LommaTätort,Lomm,Lägenhet,Bostadsrätt,3,4,4,No,Yes,85.5,0.0,0.0,1951-2000,6301.0,7848.0,2024-07-10,2.595,-0.17,2.765
26,Ångfärjekajen 22,Varvsstaden,Malm,Lägenhet,Bostadsrätt,3,5,0,Yes,Yes,74.0,0.0,0.0,2011-present,5029.0,13750.0,2024-07-10,4.395,0.0,4.395
27,Knapegatan 5A,CentralaHisingen,Göteborg,Lägenhet,Bostadsrätt,2,1,3,No,No,44.0,0.0,0.0,1900-1950,3185.0,7200.0,2024-07-10,1.795,0.0,1.795
28,Kulladalsgatan 6C,Kulladal,Malm,Lägenhet,Bostadsrätt,2,5,8,Yes,Yes,62.0,0.0,0.0,1951-2000,4057.0,2220.0,2024-07-10,1.495,0.0,1.495
29,Industrigatan 15B,Högbrunn,Nyköping,Lägenhet,Bostadsrätt,2,3,3,No,Yes,56.5,0.0,0.0,1951-2000,3874.0,7044.0,2024-07-10,1.1,-0.105,1.205
31,Kavaljersgatan 17,HisingsBacka,Göteborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,74.3,0.0,0.0,1951-2000,5755.0,13750.0,2024-07-10,1.775,0.125,1.65
32,Ostindiefararen 65,Eriksberg,Göteborg,Lägenhet,Bostadsrätt,3,1,9,Yes,Yes,95.0,0.0,0.0,2001-2010,5425.0,4860.0,2024-07-10,5.995,0.305,5.69
33,Einar Hansens Esplanad 34,VästraHamnen,Malm,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,54.0,0.0,0.0,2011-present,4456.0,13750.0,2024-07-10,2.425,-0.1,2.525
34,Annebergsgatan 10C,Borgmästaregården,Malm,Lägenhet,Bostadsrätt,4,8,8,Yes,Yes,108.5,0.0,0.0,1951-2000,7414.0,7040.0,2024-07-10,2.895,0.505,2.39
35,Staketgatan 9,CentralaGävle,Gävl,Lägenhet,Bostadsrätt,2,2,5,Yes,No,92.0,0.0,0.0,Before 1900s,4921.0,6683.0,2024-07-10,2.3,0.26,2.04
36,Fältjägarvägen 36A,Prästbordet,Skellefte,Lägenhet,Bostadsrätt,1,2,3,No,No,26.5,0.0,0.0,1951-2000,2083.0,7002.0,2024-07-10,0.695,0.105,0.59
37,Mariehemsvägen 90,Mariestrand,Ume,Lägenhet,Bostadsrätt,2,8,9,Yes,Yes,58.5,0.0,0.0,2011-present,3987.0,13750.0,2024-07-10,1.795,0.105,1.69
38,Hovsgatan 11 A,Centrum,Härnösand,Lägenhet,Bostadsrätt,3,2,3,No,Yes,66.0,0.0,0.0,1900-1950,4403.0,1800.0,2024-07-10,0.65,0.0,0.65
39,Svartbäcksgatan 87B,Svartbäcken,Uppsal,Lägenhet,Bostadsrätt,2,3,3,No,Yes,54.0,0.0,0.0,1900-1950,3865.0,7464.0,2024-07-10,1.895,-0.045,1.94
40,Mårtensgatan 6 A,Ljusdal,C,Lägenhet,Bostadsrätt,3,2,3,No,Yes,75.5,0.0,0.0,1951-2000,4324.0,4800.0,2024-07-10,0.925,0.125,0.8
41,Bassängkajen 26,Varvsstaden,Malm,Lägenhet,Bostadsrätt,1,5,7,Yes,Yes,29.4,0.0,0.0,2011-present,3320.0,3732.0,2024-07-10,1.69,-0.04,1.73
42,Björkebogatan 10K,Tomelilla,Tomelill,Lägenhet,Bostadsrätt,3,2,2,No,Yes,82.0,0.0,0.0,1951-2000,5796.0,13750.0,2024-07-10,0.895,-0.075,0.97
43,Solhöjdsgatan 9,Varvsstaden,Malm,Lägenhet,Bostadsrätt,3,7,7,Yes,Yes,89.0,0.0,0.0,2011-present,6121.0,7720.0,2024-07-10,6.495,-0.045,6.54
44,"Blekegatan 1, vån. 6",Liljehholmskajen,Stockholm,Lägenhet,Bostadsrätt,3,6,0,Yes,Yes,89.0,0.0,0.0,2001-2010,4032.0,7200.0,2024-07-10,6.495,0.405,6.09
45,Stockholmsgatan 40P,Bagaregården,Göteborg,Lägenhet,Bostadsrätt,2,3,3,No,No,64.5,0.0,0.0,1900-1950,4691.0,9360.0,2024-07-10,3.75,0.0,3.75
46,Fyrislundsgatan 36,Årsta,Uppsal,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,85.5,0.0,0.0,1951-2000,4916.0,4040.0,2024-07-10,2.195,0.0,2.195
47,Hannes Alfvéns gata 5,Vallastaden,Linköping,Lägenhet,Bostadsrätt,1,2,5,Yes,No,38.0,0.0,0.0,2011-present,4984.0,13750.0,2024-07-10,1.55,-0.01,1.56
48,Dalgatan 28,Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,3,3,No,Yes,40.5,0.0,0.0,2011-present,4266.0,13750.0,2024-07-10,1.89,0.11,1.78
49,Råbyvägen 57G,Gränby,Uppsal,Lägenhet,Bostadsrätt,3,3,0,Yes,Yes,89.0,0.0,0.0,2011-present,4266.0,13750.0,2024-07-10,2.095,0.085,2.01
50,Sofielundsvägen 37,Enskededalen,Stockholm,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,41.0,0.0,0.0,2011-present,3245.0,7500.0,2024-07-10,3.195,-0.095,3.29
52,Idrottsvägen 4,GustavsbergPorslinskvarteren,Värmd,Lägenhet,Bostadsrätt,4,3,4,Yes,Yes,88.0,0.0,0.0,2011-present,4979.0,9692.0,2024-07-10,4.15,-0.155,4.305
53,Oskarslundsbacken 26,Liljeholmskajen,Stockholm,Lägenhet,Bostadsrätt,4,5,6,Yes,Yes,97.0,0.0,0.0,2011-present,6538.0,10500.0,2024-07-10,6.995,-0.095,7.09
54,Mjölnarvägen 24,Kvarnholmen,Nack,Lägenhet,Bostadsrätt,3,2,0,Yes,No,106.0,0.0,0.0,1900-1950,5440.0,7800.0,2024-07-10,6.995,-0.62,7.615
55,Prästgårdsvägen 1A,Skoghall,Hammar,Lägenhet,Bostadsrätt,3,3,3,No,Yes,83.0,0.0,0.0,1951-2000,6158.0,3191.0,2024-07-10,0.8,-0.025,0.825
56,Kyrkogårdsgatan 17,Druvefors,Borå,Lägenhet,Bostadsrätt,2,7,8,Yes,Yes,53.0,0.0,0.0,2001-2010,4161.0,4536.0,2024-07-10,2.195,-0.195,2.39
57,Tullgarnsgatan 16,Kungsängen,Uppsal,Lägenhet,Bostadsrätt,3,1,6,Yes,Yes,82.0,0.0,0.0,2011-present,5330.0,13750.0,2024-07-10,2.875,-0.075,2.95
58,Ingegatan 4R,Iskällan/Centraltvidälven,Kungälv,Lägenhet,Bostadsrätt,1,2,2,No,No,48.0,0.0,0.0,1951-2000,3634.0,3600.0,2024-07-10,1.425,-0.325,1.75
59,Frestavägen 30,Edsberg,Sollentun,Lägenhet,Bostadsrätt,3,3,4,Yes,Yes,71.0,0.0,0.0,2011-present,4938.0,7800.0,2024-07-10,2.65,0.0,2.65
60,Vänortsgatan 7A,MölndalBosgården,Mölndal,Lägenhet,Bostadsrätt,1,3,4,No,Yes,21.0,0.0,0.0,1951-2000,2038.0,13750.0,2024-07-10,1.35,0.0,1.35
61,Surbrunnsgatan 55,Vasastan,Stockholm,Lägenhet,Bostadsrätt,4,7,9,Yes,Yes,84.0,0.0,0.0,1951-2000,6992.0,5600.0,2024-07-10,7.995,-0.595,8.59
62,Midsommargränd 4,Midsommarkransen,Stockholm,Lägenhet,Bostadsrätt,2,2,4,Yes,Yes,45.0,0.0,0.0,2001-2010,2621.0,13750.0,2024-07-10,3.495,0.13,3.365
63,Ekoxvägen 10,Ultuna,Uppsal,Lägenhet,Bostadsrätt,4,2,5,Yes,Yes,79.0,0.0,0.0,2011-present,5617.0,5688.0,2024-07-10,2.595,0.0,2.595
64,Spelmansgatan 59D,Centralt,Kristinehamn,Lägenhet,Bostadsrätt,2,2,3,No,Yes,60.5,0.0,0.0,1951-2000,3896.0,3108.0,2024-07-10,0.295,0.0,0.295
65,Söderbytorpsgatan 2,Vendelsö,Haning,Lägenhet,Bostadsrätt,2,0,0,No,Yes,42.5,0.0,0.0,2011-present,8808.0,13750.0,2024-07-10,1.595,0.255,1.34
66,Storgatan 55D,Torshälla,Eskilstun,Lägenhet,Bostadsrätt,2,1,3,No,Yes,53.5,0.0,0.0,1900-1950,3143.0,3720.0,2024-07-10,0.65,0.01,0.64
67,Ahlbergers väg 6,Högbrunn,Nyköping,Lägenhet,Bostadsrätt,3,2,6,Yes,Yes,62.0,0.0,0.0,1951-2000,4257.0,5028.0,2024-07-10,1.095,0.0,1.095
68,"Sibeliusgången 34, 2 tr",Akalla,Stockholm,Lägenhet,Bostadsrätt,2,2,0,Yes,Yes,45.0,0.0,0.0,1951-2000,3233.0,13750.0,2024-07-10,1.75,-0.11,1.86
69,Blomstergatan 35,Gideonsberg,Västerå,Lägenhet,Bostadsrätt,2,4,0,No,Yes,62.0,0.0,0.0,2011-present,4266.0,13750.0,2024-07-10,0.995,0.405,0.59
70,Wetterlinsgatan 26B,Falköping,Falköping,Lägenhet,Bostadsrätt,3,1,3,No,Yes,70.0,0.0,0.0,1951-2000,5349.0,10992.0,2024-07-10,0.235,0.0,0.235
71,Lojovägen 84,Rudboda,Liding,Lägenhet,Bostadsrätt,4,2,4,Yes,Yes,92.0,0.0,0.0,2011-present,6259.0,13750.0,2024-07-10,6.85,0.0,6.85
72,Drottninggatan 32D,Jakobsberg,Västerå,Lägenhet,Bostadsrätt,2,3,3,Yes,Yes,55.0,0.0,0.0,2011-present,4266.0,13750.0,2024-07-10,1.195,-0.02,1.215
73,Dalgårdsgatan 8 A,Dalen,Boxholm,Lägenhet,Bostadsrätt,3,3,3,No,Yes,79.0,0.0,0.0,1951-2000,3239.0,3600.0,2024-07-10,0.795,-0.045,0.84
74,Ekedalsvägen 15A,Jakobsberg,Järfäll,Lägenhet,Bostadsrätt,3,0,3,Yes,Yes,55.0,0.0,0.0,1951-2000,4123.0,13750.0,2024-07-10,1.595,0.08,1.515
75,Nyängsvägen 2,Tullinge,Botkyrk,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,75.0,0.0,0.0,2011-present,5555.0,7800.0,2024-07-10,2.795,0.0,2.795
76,Mjölnergatan 14,Märsta,Sigtun,Lägenhet,Bostadsrätt,2,6,7,Yes,Yes,36.0,0.0,0.0,2011-present,3154.0,9804.0,2024-07-10,0.995,-0.095,1.09
77,Tellusgatan 41,Bergsjön,Göteborg,Lägenhet,Bostadsrätt,1,7,9,Yes,Yes,40.0,0.0,0.0,2011-present,3169.0,8352.0,2024-07-10,0.98,0.0,0.98
78,Lasarettsgatan 40A,Centrum,Gällivar,Lägenhet,Bostadsrätt,1,1,3,No,Yes,44.5,0.0,0.0,1951-2000,4281.0,2400.0,2024-07-10,0.795,0.12,0.675
79,Storvretsvägen 45,Skogås,Hudding,Lägenhet,Bostadsrätt,4,2,2,No,Yes,96.0,0.0,0.0,2011-present,3960.0,13750.0,2024-07-10,1.75,0.35,1.4
80,Karlagatan 34,Herrhagen,Karlstad,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,80.0,0.0,0.0,1951-2000,5612.0,7536.0,2024-07-10,1.75,-0.1,1.85
81,Vardövägen 86,Vega,Haning,Lägenhet,Bostadsrätt,2,0,4,Yes,Yes,55.0,0.0,0.0,2011-present,3655.0,13750.0,2024-07-10,2.295,-0.045,2.34
82,Ersåsbacken 68,Önnered,Göteborg,Lägenhet,Bostadsrätt,2,2,2,No,Yes,65.0,0.0,0.0,2011-present,4140.0,13750.0,2024-07-10,2.95,-0.15,3.1
83,Blidvädersgränd 2 E,Fasseröd,Uddevall,Lägenhet,Bostadsrätt,3,2,2,No,Yes,70.0,0.0,0.0,2011-present,4800.0,13750.0,2024-07-10,1.695,-0.145,1.84
84,Ehrensvärdsgatan 6,Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,1,5,6,Yes,No,29.0,0.0,0.0,1900-1950,1382.0,4500.0,2024-07-10,2.995,0.305,2.69
85,Inteckningsvägen 21,Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,51.0,0.0,0.0,1900-1950,3267.0,13750.0,2024-07-10,2.995,-0.095,3.09
86,Gethes väg 4,SödraKalmar,Kalma,Lägenhet,Bostadsrätt,2,2,3,No,Yes,52.5,0.0,0.0,1951-2000,3665.0,3600.0,2024-07-10,1.05,0.0,1.05
87,Tallvägen 9A,Bredsand,Sundsvall,Lägenhet,Bostadsrätt,2,2,7,Yes,Yes,63.0,0.0,0.0,1951-2000,4545.0,1248.0,2024-07-10,0.65,-0.01,0.66
88,Elisetorpsvägen 17B,Arlöv,Burlöv,Lägenhet,Bostadsrätt,2,7,9,Yes,Yes,61.5,0.0,0.0,1951-2000,3369.0,1800.0,2024-07-10,1.095,0.0,1.095
89,Framnäsbacken 24,Skytteholm,Soln,Lägenhet,Bostadsrätt,1,1,6,Yes,No,25.0,0.0,0.0,1951-2000,1181.0,7400.0,2024-07-10,1.895,-0.045,1.94
90,Vintergatan 2D,Sundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,40.0,0.0,0.0,2011-present,3273.0,4300.0,2024-07-10,2.995,0.105,2.89
91,Södra Långgatan 79D,Kvarnholmen,Kalma,Lägenhet,Bostadsrätt,1,2,3,Yes,Yes,40.0,0.0,0.0,1900-1950,2897.0,4800.0,2024-07-10,1.395,-0.02,1.415
92,Nordenskiöldsgatan 6,Linné,Göteborg,Lägenhet,Bostadsrätt,2,6,8,Yes,Yes,64.9,0.0,0.0,1951-2000,4279.0,3250.0,2024-07-10,3.995,0.305,3.69
94,Järnåkravägen 7C,Järnåkra,Lund,Lägenhet,Bostadsrätt,3,2,4,No,Yes,88.2,0.0,0.0,1951-2000,3733.0,13750.0,2024-07-10,2.995,0.055,2.94
