,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
0,Hindergårdsgatan 23D,Rynningeåsen,Örebr,Lägenhet,Bostadsrätt,4,2,2,No,Yes,82.8,0.0,0.0,2011-present,4925.0,9823.0,,2.4,0.05,2.35
1,Sadelgatan 9,TäbyPark,Täb,Lägenhet,Bostadsrätt,2,4,7,Yes,No,55.0,0.0,0.0,2011-present,3484.0,6700.0,,2.7,-0.07,2.76
2,Sofielundsvägen 37,Blåsut,Stockholm,Lägenhet,Bostadsrätt,4,5,5,Yes,Yes,86.0,0.0,0.0,2011-present,6043.0,4500.0,,6.0,0.31,5.69
3,Lundavägen 77,Rostorp,Malm,Lägenhet,Bostadsrätt,2,1,3,No,No,92.8,0.0,0.0,1900-1950,3914.0,6360.0,,2.2,-0.3,2.49
4,Järnvägsgatan 11,Centrum,Ängelholm,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,83.5,0.0,0.0,1951-2000,4264.0,4680.0,,3.3,0.06,3.24
5,Stora Kvarngatan 14A,Drottningtorget,Malm,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,74.0,0.0,0.0,Before 1900s,4607.0,7760.0,,2.9,-0.1,2.99
6,"Hammarby allé 3B, vån 10 av 11",HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,3,10,11,Yes,Yes,87.0,0.0,0.0,2011-present,4936.0,9000.0,,7.0,0.51,6.49
7,"Sandhamnsgatan 1, 4 tr",Gärdet,Stockholm,Lägenhet,Bostadsrätt,1,4,7,Yes,Yes,36.0,0.0,0.0,2011-present,5000.0,6360.0,,3.35,0.0,3.35
8,Radarvägen 16,Hägernäs,Täb,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,58.0,0.0,0.0,1951-2000,4482.0,11760.0,,2.3,-0.22,2.52
9,Stegelbäcksgatan 4A,Grossgärdet,Norrtälj,Lägenhet,Bostadsrätt,2,3,3,No,No,45.0,0.0,0.0,1951-2000,2295.0,4800.0,,1.3,0.05,1.25
