Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Örebr,82.8,2011-present,Lägenhet,No,Yes,2.35
Täb,55.0,2011-present,Lägenhet,Yes,No,2.76
Stockholm,86.0,2011-present,Lägenhet,Yes,Yes,5.69
Malm,92.8,1900-1950,Lägenhet,No,No,2.49
Ängelholm,83.5,1951-2000,Lägenhet,Yes,Yes,3.24
Malm,74.0,Before 1900s,Lägenhet,Yes,Yes,2.99
Stockholm,87.0,2011-present,Lägenhet,Yes,Yes,6.49
Stockholm,36.0,2011-present,Lägenhet,Yes,Yes,3.35
Täb,58.0,1951-2000,Lägenhet,Yes,Yes,2.52
Norrtälj,45.0,1951-2000,Lägenhet,No,No,1.25
Malm,68.0,2001-2010,Lägenhet,Yes,Yes,2.31
Täb,135.0,2001-2010,Lägenhet,Yes,Yes,7.29
Malm,35.0,1900-1950,Lägenhet,Yes,No,1.84
Nack,38.0,1951-2000,Lägenhet,Yes,Yes,2.45
Jönköping,65.0,1900-1950,Lägenhet,Yes,No,3.65
Göteborg,90.0,Before 1900s,Lägenhet,Yes,Yes,8.38
Stockholm,81.0,1951-2000,Lägenhet,Yes,Yes,2.38
Enköping,47.8,1951-2000,Lägenhet,No,Yes,0.64
Liding,96.0,2011-present,Lägenhet,Yes,Yes,7.85
Helsingborg,65.0,2011-present,Lägenhet,Yes,Yes,1.02
Nack,85.0,2011-present,Lägenhet,Yes,Yes,6.07
Gävl,57.5,1900-1950,Lägenhet,No,Yes,1.71
Danderyd,66.0,1951-2000,Lägenhet,Yes,Yes,3.84
Liding,131.0,2001-2010,Lägenhet,Yes,Yes,9.68
Lund,27.0,2011-present,Lägenhet,Yes,No,1.58
Gävl,62.0,1900-1950,Lägenhet,Yes,Yes,1.9
Nack,81.0,1951-2000,Lägenhet,Yes,Yes,3.39
Lund,29.0,2011-present,Lägenhet,Yes,No,1.55
Malm,89.8,1951-2000,Lägenhet,Yes,Yes,2.89
Sundbyberg,79.0,2011-present,Lägenhet,Yes,Yes,5.7
Sollentun,46.0,2011-present,Lägenhet,Yes,Yes,2.15
Helsingborg,79.0,2011-present,Lägenhet,Yes,Yes,2.09
Gävl,44.5,2011-present,Lägenhet,No,Yes,1.32
Stockholm,100.0,2011-present,Lägenhet,Yes,Yes,9.18
Malm,76.0,Before 1900s,Lägenhet,Yes,Yes,4.24
Järfäll,54.5,2011-present,Lägenhet,Yes,Yes,2.3
Stockholm,50.0,2011-present,Lägenhet,Yes,Yes,2.78
Stockholm,40.0,1951-2000,Lägenhet,No,Yes,1.88
Mölndal,56.0,1900-1950,Lägenhet,No,No,1.74
Stockholm,78.0,1900-1950,Lägenhet,Yes,Yes,7.93
Sollentun,69.0,1951-2000,Lägenhet,Yes,Yes,2.69
Stockholm,44.0,2011-present,Lägenhet,Yes,No,3.58
Jönköping,38.5,1951-2000,Lägenhet,Yes,Yes,1.65
Uddevall,73.0,2011-present,Lägenhet,No,Yes,1.19
Uppsal,40.0,1900-1950,Lägenhet,Yes,No,1.44
Bromöll,56.0,1900-1950,Lägenhet,No,Yes,0.35
Uppsal,79.0,2011-present,Lägenhet,Yes,Yes,2.81
Salem,107.0,2011-present,Lägenhet,Yes,Yes,5.27
Stockholm,53.5,1900-1950,Lägenhet,No,Yes,2.49
Lund,56.0,1900-1950,Lägenhet,No,Yes,2.7
Borläng,55.0,2011-present,Lägenhet,No,Yes,1.15
Hudding,62.0,1951-2000,Lägenhet,Yes,Yes,2.43
Norrtälj,69.7,1951-2000,Lägenhet,No,Yes,1.52
Liding,112.5,1951-2000,Lägenhet,Yes,Yes,7.8
Österåker,64.5,2001-2010,Lägenhet,Yes,Yes,0.99
Hudding,68.0,2011-present,Lägenhet,Yes,Yes,3.39
Stockholm,44.0,2011-present,Lägenhet,Yes,Yes,2.6
Sundbyberg,83.0,2011-present,Lägenhet,Yes,Yes,5.64
Stockholm,86.0,2011-present,Lägenhet,Yes,Yes,5.54
Stockholm,41.0,2011-present,Lägenhet,Yes,Yes,5.13
Helsingborg,58.0,1900-1950,Lägenhet,No,Yes,1.85
Västerå,47.0,1900-1950,Lägenhet,No,Yes,1.14
Stockholm,60.0,1900-1950,Lägenhet,No,Yes,2.94
Stockholm,138.0,1951-2000,Lägenhet,Yes,Yes,12.9
Stockholm,118.0,1900-1950,Lägenhet,Yes,Yes,12.4
Västerå,116.1,1951-2000,Lägenhet,No,Yes,2.09
Helsingborg,39.0,1900-1950,Lägenhet,No,Yes,0.6
Örebr,82.0,1951-2000,Lägenhet,Yes,Yes,2.65
Härnösand,61.0,1951-2000,Lägenhet,No,Yes,0.57
Stockholm,31.0,1900-1950,Lägenhet,Yes,Yes,2.73
Växj,56.0,Before 1900s,Lägenhet,No,No,1.74
Soln,64.0,1900-1950,Lägenhet,No,Yes,2.19
Soln,69.5,1951-2000,Lägenhet,Yes,Yes,3.54
Soln,88.0,1951-2000,Lägenhet,No,Yes,4.19
Liding,88.0,1951-2000,Lägenhet,No,Yes,4.2
Skövd,61.0,2011-present,Lägenhet,Yes,Yes,1.68
Karlstad,82.0,2001-2010,Lägenhet,Yes,Yes,2.0
Borå,59.0,1951-2000,Lägenhet,No,Yes,0.6
Soln,43.0,2011-present,Lägenhet,Yes,Yes,2.75
Kungsback,65.9,1951-2000,Lägenhet,No,Yes,2.18
Mor,38.0,1951-2000,Lägenhet,No,Yes,0.46
Malm,80.5,1951-2000,Lägenhet,No,Yes,1.75
Örebr,57.0,1951-2000,Lägenhet,Yes,Yes,1.44
Uppsal,77.5,1951-2000,Lägenhet,No,Yes,1.89
Borgholm,92.0,1951-2000,Lägenhet,No,Yes,1.14
Västerå,60.0,1951-2000,Lägenhet,No,Yes,0.95
Oskarshamn,56.0,1900-1950,Lägenhet,No,Yes,0.75
Stockholm,94.0,2011-present,Lägenhet,No,Yes,4.2
Klippan,51.0,1951-2000,Lägenhet,No,Yes,0.7
Helsingborg,88.0,1951-2000,Lägenhet,Yes,Yes,2.24
Göteborg,34.5,2011-present,Lägenhet,Yes,Yes,2.17
Sollentun,32.0,2011-present,Lägenhet,Yes,Yes,1.98
Trollhättan,94.0,1951-2000,Lägenhet,No,Yes,0.64
Lund,65.2,1900-1950,Lägenhet,Yes,Yes,2.6
Göteborg,65.5,1951-2000,Lägenhet,Yes,Yes,1.8
Kungsback,61.1,1951-2000,Lägenhet,No,Yes,2.49
Göteborg,63.8,1900-1950,Lägenhet,No,No,3.1
Jönköping,67.5,1951-2000,Lägenhet,No,Yes,1.14
Stockholm,67.0,1900-1950,Lägenhet,Yes,Yes,2.79
Svedal,78.6,1951-2000,Lägenhet,No,Yes,2.27
Linköping,105.0,1951-2000,Lägenhet,No,Yes,1.14
Kungsback,81.0,2001-2010,Lägenhet,No,Yes,3.14
Uppsal,66.0,2011-present,Lägenhet,Yes,Yes,1.84
Västerå,82.5,1951-2000,Lägenhet,No,Yes,0.59
Avest,38.5,1900-1950,Lägenhet,No,Yes,0.32
Lysekil,66.0,2011-present,Lägenhet,No,Yes,1.46
Jönköping,75.5,2011-present,Lägenhet,Yes,Yes,3.55
Stockholm,85.0,1900-1950,Lägenhet,Yes,Yes,9.09
Norrtälj,73.9,1951-2000,Lägenhet,No,Yes,1.4
Uppsal,78.0,2011-present,Lägenhet,Yes,Yes,3.44
Soln,87.0,1951-2000,Lägenhet,Yes,Yes,4.67
Enköping,73.0,2011-present,Lägenhet,Yes,Yes,1.78
Stockholm,38.0,1900-1950,Lägenhet,Yes,Yes,3.95
Falkenberg,41.0,1951-2000,Lägenhet,No,Yes,1.4
Falkenberg,113.0,2011-present,Lägenhet,No,Yes,0.58
Stockholm,90.0,1951-2000,Lägenhet,Yes,Yes,10.24
Vårgård,46.0,2011-present,Lägenhet,No,Yes,1.15
Karlsborg,63.0,1951-2000,Lägenhet,No,Yes,0.34
Malm,27.0,2001-2010,Lägenhet,No,No,1.4
Stockholm,49.0,Before 1900s,Lägenhet,Yes,No,6.19
Norrtälj,85.8,1951-2000,Lägenhet,Yes,Yes,1.35
Stockholm,36.0,1900-1950,Lägenhet,Yes,No,2.39
Skövd,77.0,2011-present,Lägenhet,Yes,Yes,2.1
Karlskron,30.5,1951-2000,Lägenhet,No,No,0.9
Helsingborg,83.2,2011-present,Lägenhet,Yes,Yes,3.35
Karlstad,72.5,1951-2000,Lägenhet,No,Yes,1.75
Malm,63.0,1951-2000,Lägenhet,No,Yes,0.8
Nässj,58.0,1951-2000,Lägenhet,No,Yes,0.84
Stockholm,42.0,2011-present,Lägenhet,No,Yes,5.2
Göteborg,57.0,1951-2000,Lägenhet,Yes,Yes,2.1
Varberg,55.0,2011-present,Lägenhet,Yes,Yes,2.25
Stockholm,64.0,1951-2000,Lägenhet,No,Yes,3.25
Karlstad,48.0,1951-2000,Lägenhet,Yes,Yes,1.17
Hudding,82.0,1951-2000,Lägenhet,Yes,Yes,1.8
Vimmerb,72.0,2011-present,Lägenhet,No,Yes,1.5
Ystad,85.0,2011-present,Lägenhet,Yes,Yes,2.5
Uppsal,144.5,2001-2010,Lägenhet,Yes,Yes,5.0
Soln,90.0,1900-1950,Lägenhet,No,Yes,4.65
Kungälv,78.5,2011-present,Lägenhet,Yes,Yes,3.94
Stockholm,48.0,2011-present,Lägenhet,No,Yes,2.49
Kil,83.0,1951-2000,Lägenhet,Yes,Yes,0.55
Uppsal,78.0,2011-present,Lägenhet,Yes,Yes,2.39
Skellefte,44.5,1951-2000,Lägenhet,No,Yes,0.71
Soln,74.0,1951-2000,Lägenhet,Yes,Yes,3.74
Stockholm,80.0,1951-2000,Lägenhet,No,Yes,2.84
Västervik,59.1,1951-2000,Lägenhet,No,Yes,0.62
Sigtun,70.5,1951-2000,Lägenhet,No,Yes,1.69
Soln,73.5,1951-2000,Lägenhet,Yes,Yes,3.57
Uppsal,63.5,2011-present,Lägenhet,No,Yes,2.23
Stockholm,51.0,1900-1950,Lägenhet,No,Yes,2.64
Stockholm,35.0,1900-1950,Lägenhet,Yes,Yes,3.68
Stockholm,31.0,1900-1950,Lägenhet,Yes,Yes,2.7
Malm,39.5,1900-1950,Lägenhet,No,No,0.89
Karlstad,65.0,1951-2000,Lägenhet,Yes,Yes,1.4
Linköping,105.0,1951-2000,Lägenhet,No,Yes,1.8
Trelleborg,60.5,1951-2000,Lägenhet,No,Yes,1.07
Örebr,85.0,2011-present,Lägenhet,Yes,Yes,2.6
Sundbyberg,56.0,1900-1950,Lägenhet,Yes,Yes,3.54
Haning,33.0,2011-present,Lägenhet,Yes,Yes,1.8
Varberg,96.7,2001-2010,Lägenhet,Yes,Yes,5.8
Stockholm,66.0,1900-1950,Lägenhet,Yes,Yes,3.48
Lund,61.5,2011-present,Lägenhet,Yes,Yes,1.9
Uppsal,60.0,1951-2000,Lägenhet,No,Yes,1.39
Stockholm,69.0,1951-2000,Lägenhet,Yes,Yes,5.45
Göteborg,72.0,1900-1950,Lägenhet,Yes,Yes,3.7
Uppsal,78.0,2011-present,Lägenhet,Yes,Yes,3.32
Jönköping,79.5,1951-2000,Lägenhet,No,Yes,1.4
Höganä,57.5,1951-2000,Lägenhet,No,Yes,1.78
Hudding,65.0,2011-present,Lägenhet,Yes,Yes,2.34
Lund,60.0,1900-1950,Lägenhet,No,Yes,2.75
Haning,36.5,2001-2010,Lägenhet,Yes,Yes,1.52
Stockholm,124.0,1900-1950,Lägenhet,Yes,Yes,15.88
Hudding,69.7,1951-2000,Lägenhet,Yes,Yes,3.54
Stockholm,60.0,1900-1950,Lägenhet,Yes,Yes,5.45
Stockholm,54.0,1900-1950,Lägenhet,No,Yes,3.0
Lund,115.0,Before 1900s,Lägenhet,No,No,6.0
Sandviken,54.5,1900-1950,Lägenhet,No,Yes,0.7
Ängelholm,88.5,2011-present,Lägenhet,No,Yes,2.75
Stockholm,42.0,1900-1950,Lägenhet,No,Yes,2.64
Stockholm,49.0,1951-2000,Lägenhet,Yes,Yes,3.95
Linköping,161.0,1900-1950,Lägenhet,Yes,Yes,8.0
Göteborg,74.4,1900-1950,Lägenhet,No,No,4.5
Uppsal,65.0,2011-present,Lägenhet,Yes,Yes,1.87
Malm,53.0,1900-1950,Lägenhet,No,No,1.39
Uppsal,97.0,1900-1950,Lägenhet,No,Yes,4.43
Lund,54.5,1951-2000,Lägenhet,No,Yes,0.9
Uppsal,94.0,2011-present,Lägenhet,Yes,Yes,3.64
Malm,35.5,1900-1950,Lägenhet,No,Yes,1.3
Stockholm,96.0,1951-2000,Lägenhet,Yes,Yes,9.25
Haning,75.5,2011-present,Lägenhet,Yes,Yes,3.09
Norrköping,64.0,2011-present,Lägenhet,Yes,Yes,2.32
Stockholm,43.0,1900-1950,Lägenhet,Yes,No,3.7
Avest,56.5,1900-1950,Lägenhet,No,Yes,0.65
Malm,77.0,1951-2000,Lägenhet,Yes,Yes,2.27
